hook_en,hook_ar,item1_en,item1_ar,item1_pron,item2_en,item2_ar,item2_pron,item3_en,item3_ar,item3_pron,item4_en,item4_ar,item4_pron,item5_en,item5_ar,item5_pron,cta_en,cta_ar
"5 Arabic words you already know in English!","5 كلمات عربية تعرفها بالإنجليزية!","Sugar = سكر","سكر","sukkar","Cotton = قطن","قطن","qutn","Magazine = مخزن","مخزن","makhzan","Algebra = الجبر","الجبر","al-jabr","Algorithm = الخوارزمي","الخوارزمي","al-Khwarizmi","Learn both languages in ArabicEngLearn!","تعلم اللغتين في ArabicEngLearn!"
"How to say Hello in 4 Arabic dialects","كيف تقول مرحبا بـ 4 لهجات عربية","MSA: مرحبا","مرحبا","marhaba","Egyptian: أهلاً","أهلاً","ahlan","Lebanese: هلا","هلا","hala","Moroccan: مرحبا","مرحبا","merhba","","Learn all dialects in ArabicEngLearn!","تعلم كل اللهجات في ArabicEngLearn!"
"3 mistakes Arabs make in English","3 أخطاء يرتكبها العرب في الإنجليزية","I am agree ❌","I am agree ❌","→ I agree ✓","He make ✗","He make ✗","→ He makes ✓","I have 20 years ✗","I have 20 years ✗","→ I am 20 years old ✓","","","","","","Fix your mistakes in ArabicEngLearn!","صحح أخطاءك في ArabicEngLearn!"
"Must-know phrase: How much?","عبارة ضرورية: بكم؟","How much?","بكم؟","bkam","How much is this?","هذا بكم؟","da bkam?","That's too expensive!","غالٍ جداً!","ghali jiddan!","Can you lower the price?","تقدر تنقص السعر؟","teqdar tenaqqes es-se'r?","","","","Master daily phrases in ArabicEngLearn!","أتقن العبارات اليومية في ArabicEngLearn!"
"English words that come from Arabic","كلمات إنجليزية أصلها عربي","Admiral = أمير البحر","أمير البحر","amir al-bahr","Arsenal = دار الصناعة","دار الصناعة","dar as-sina'a","Camel = جمل","جمل","jamal","Coffee = قهوة","قهوة","qahwa","Discover more in ArabicEngLearn!","اكتشف المزيد في ArabicEngLearn!"
"Goodbye in Arabic dialects","الوداع باللهجات العربية","MSA: مع السلامة","مع السلامة","ma'a as-salama","Egyptian: مع السلامة يا باشا","مع السلامة يا باشا","ma'a salama ya basha","Lebanese: يلا باي","يلا باي","yalla bye","Moroccan: بسلامة","بسلامة","b'slama","","Learn dialects in ArabicEngLearn!","تعلم اللهجات في ArabicEngLearn!"
"Words that exist in BOTH languages","كلمات موجودة في اللغتين","Banana = موز","موز","mawz","Lemon = ليمون","ليمون","laymun","Orange = برتقال","برتقال","burtuqal","Sugar = سكر","سكر","sukkar","","","","Find more in ArabicEngLearn!","جد المزيد في ArabicEngLearn!"
"Ordering food in Arabic","طلب الأكل بالعربي","I want...","أريد...","urid...","The bill please","الحساب من فضلك","al-hisab min fadlak","Delicious!","لذيذ!","ladhidh!","Water please","ماء من فضلك","ma' min fadlak","","","","Order like a local with ArabicEngLearn!","اطلب مثل المحلي مع ArabicEngLearn!"
"Arabic numbers you use daily","أرقام عربية تستخدمها يومياً","Zero = صفر","صفر","sifr","One = واحد","واحد","wahid","Two = اثنان","اثنان","ithnan","Three = ثلاثة","ثلاثة","thalatha","","","","Count in Arabic with ArabicEngLearn!","عد بالعربي مع ArabicEngLearn!"
"Romantic phrases in Arabic","عبارات رومانسية بالعربي","I love you","أحبك","uhibbuk","You are beautiful","أنت جميلة","anti jamila","My heart","قلبي","qalbi","I miss you","أشتاق إليك","ishtaqtu ilayk","","","","Learn romance phrases in ArabicEngLearn!","تعلم عبارات الرومانسية في ArabicEngLearn!"
